trials,target,flanker,type,correct,congruency
46,>,<,exp,ArrowRight,i
47,>,>,exp,ArrowRight,c
48,<,<,exp,ArrowLeft,c
49,<,>,exp,ArrowLeft,i
50,<,>,exp,ArrowLeft,i
51,>,>,exp,ArrowRight,c
52,>,<,exp,ArrowRight,i
53,<,<,exp,ArrowLeft,c
54,>,<,exp,ArrowRight,i
55,<,>,exp,ArrowLeft,i
56,>,>,exp,ArrowRight,c
57,>,<,exp,ArrowRight,i
58,>,>,exp,ArrowRight,c
59,<,>,exp,ArrowLeft,i
60,<,<,exp,ArrowLeft,c
61,>,>,exp,ArrowRight,c
62,<,<,exp,ArrowLeft,c
63,<,>,exp,ArrowLeft,i
64,>,>,exp,ArrowRight,c
65,<,>,exp,ArrowLeft,i
66,<,>,exp,ArrowLeft,i
67,<,<,exp,ArrowLeft,c
68,>,<,exp,ArrowRight,i
69,<,<,exp,ArrowLeft,c
70,>,<,exp,ArrowRight,i
71,>,<,exp,ArrowRight,i
72,>,<,exp,ArrowRight,i
73,<,<,exp,ArrowLeft,c
74,>,>,exp,ArrowRight,c
75,<,>,exp,ArrowLeft,i
76,>,>,exp,ArrowRight,c
77,>,<,exp,ArrowRight,i
78,>,>,exp,ArrowRight,c
79,<,>,exp,ArrowLeft,i
80,>,>,exp,ArrowRight,c
81,<,>,exp,ArrowLeft,i
82,<,<,exp,ArrowLeft,c
83,<,>,exp,ArrowLeft,i
84,>,<,exp,ArrowRight,i
85,>,>,exp,ArrowRight,c
86,>,>,exp,ArrowRight,c
87,<,>,exp,ArrowLeft,i
88,<,<,exp,ArrowLeft,c
89,<,>,exp,ArrowLeft,i
90,>,>,exp,ArrowRight,c
91,>,<,exp,ArrowRight,i
92,<,<,exp,ArrowLeft,c
93,<,<,exp,ArrowLeft,c
94,>,<,exp,ArrowRight,i
95,<,>,exp,ArrowLeft,i
96,<,>,exp,ArrowLeft,i
97,>,>,exp,ArrowRight,c
98,>,<,exp,ArrowRight,i
99,<,<,exp,ArrowLeft,c
100,<,<,exp,ArrowLeft,c
101,<,>,exp,ArrowLeft,i
102,>,>,exp,ArrowRight,c
103,<,<,exp,ArrowLeft,c
104,<,>,exp,ArrowLeft,i
105,>,>,exp,ArrowRight,c
106,<,>,exp,ArrowLeft,i
107,<,<,exp,ArrowLeft,c
108,>,<,exp,ArrowRight,i
109,<,>,exp,ArrowLeft,i
110,<,<,exp,ArrowLeft,c
111,>,<,exp,ArrowRight,i
112,<,>,exp,ArrowLeft,i
113,<,>,exp,ArrowLeft,i
114,>,>,exp,ArrowRight,c
115,>,<,exp,ArrowRight,i
116,<,<,exp,ArrowLeft,c
117,<,<,exp,ArrowLeft,c
118,<,<,exp,ArrowLeft,c
119,>,<,exp,ArrowRight,i
120,<,<,exp,ArrowLeft,c
121,>,>,exp,ArrowRight,c
122,<,<,exp,ArrowLeft,c
123,>,<,exp,ArrowRight,i
124,<,<,exp,ArrowLeft,c
125,<,>,exp,ArrowLeft,i
126,>,>,exp,ArrowRight,c
127,<,>,exp,ArrowLeft,i
128,>,>,exp,ArrowRight,c
129,>,<,exp,ArrowRight,i
130,<,<,exp,ArrowLeft,c
131,<,>,exp,ArrowLeft,i
132,>,>,exp,ArrowRight,c
133,>,>,exp,ArrowRight,c
134,>,<,exp,ArrowRight,i
135,<,<,exp,ArrowLeft,c
136,<,<,exp,ArrowLeft,c
137,<,>,exp,ArrowLeft,i
138,>,>,exp,ArrowRight,c
139,>,<,exp,ArrowRight,i
140,>,>,exp,ArrowRight,c
141,<,>,exp,ArrowLeft,i
142,>,>,exp,ArrowRight,c
143,>,<,exp,ArrowRight,i
144,<,<,exp,ArrowLeft,c
145,>,<,exp,ArrowRight,i
146,>,>,exp,ArrowRight,c
147,>,<,exp,ArrowRight,i
148,<,<,exp,ArrowLeft,c
149,<,>,exp,ArrowLeft,i
150,>,>,exp,ArrowRight,c
151,>,<,exp,ArrowRight,i
152,>,>,exp,ArrowRight,c
153,<,<,exp,ArrowLeft,c
154,>,<,exp,ArrowRight,i
155,>,>,exp,ArrowRight,c
156,>,<,exp,ArrowRight,i
157,<,<,exp,ArrowLeft,c
158,>,<,exp,ArrowRight,i
159,>,>,exp,ArrowRight,c
160,>,<,exp,ArrowRight,i
161,<,>,exp,ArrowLeft,i
162,>,>,exp,ArrowRight,c
163,<,>,exp,ArrowLeft,i
164,<,<,exp,ArrowLeft,c
165,>,>,exp,ArrowRight,c
166,<,<,exp,ArrowLeft,c
167,>,<,exp,ArrowRight,i
168,<,>,exp,ArrowLeft,i
169,<,<,exp,ArrowLeft,c
170,<,>,exp,ArrowLeft,i
171,>,<,exp,ArrowRight,i
172,>,<,exp,ArrowRight,i
173,>,>,exp,ArrowRight,c
174,<,<,exp,ArrowLeft,c
175,>,<,exp,ArrowRight,i
176,<,<,exp,ArrowLeft,c
177,<,>,exp,ArrowLeft,i
178,<,<,exp,ArrowLeft,c
179,>,<,exp,ArrowRight,i
180,<,<,exp,ArrowLeft,c
181,>,<,exp,ArrowRight,i
182,<,<,exp,ArrowLeft,c
183,<,>,exp,ArrowLeft,i
184,<,<,exp,ArrowLeft,c
185,>,<,exp,ArrowRight,i
186,<,<,exp,ArrowLeft,c
187,>,<,exp,ArrowRight,i
188,<,<,exp,ArrowLeft,c
189,>,<,exp,ArrowRight,i
190,<,>,exp,ArrowLeft,i
191,>,>,exp,ArrowRight,c
192,<,<,exp,ArrowLeft,c
193,<,>,exp,ArrowLeft,i
194,<,>,exp,ArrowLeft,i
195,>,<,exp,ArrowRight,i
196,<,<,exp,ArrowLeft,c
197,<,>,exp,ArrowLeft,i
198,>,<,exp,ArrowRight,i
199,<,>,exp,ArrowLeft,i
200,<,>,exp,ArrowLeft,i
