trials,target,flanker,type,correct,congruency
46,<,<,exp,ArrowLeft,c
47,>,>,exp,ArrowRight,c
48,<,<,exp,ArrowLeft,c
49,<,>,exp,ArrowLeft,i
50,>,>,exp,ArrowRight,c
51,>,>,exp,ArrowRight,c
52,<,<,exp,ArrowLeft,c
53,>,<,exp,ArrowRight,i
54,<,<,exp,ArrowLeft,c
55,>,<,exp,ArrowRight,i
56,<,<,exp,ArrowLeft,c
57,>,>,exp,ArrowRight,c
58,<,>,exp,ArrowLeft,i
59,>,>,exp,ArrowRight,c
60,<,>,exp,ArrowLeft,i
61,<,>,exp,ArrowLeft,i
62,>,>,exp,ArrowRight,c
63,>,<,exp,ArrowRight,i
64,>,>,exp,ArrowRight,c
65,<,>,exp,ArrowLeft,i
66,>,>,exp,ArrowRight,c
67,<,>,exp,ArrowLeft,i
68,>,>,exp,ArrowRight,c
69,<,>,exp,ArrowLeft,i
70,>,<,exp,ArrowRight,i
71,<,<,exp,ArrowLeft,c
72,<,>,exp,ArrowLeft,i
73,>,>,exp,ArrowRight,c
74,<,<,exp,ArrowLeft,c
75,<,<,exp,ArrowLeft,c
76,>,<,exp,ArrowRight,i
77,>,>,exp,ArrowRight,c
78,>,>,exp,ArrowRight,c
79,<,>,exp,ArrowLeft,i
80,>,<,exp,ArrowRight,i
81,>,>,exp,ArrowRight,c
82,>,<,exp,ArrowRight,i
83,<,>,exp,ArrowLeft,i
84,<,>,exp,ArrowLeft,i
85,>,>,exp,ArrowRight,c
86,>,<,exp,ArrowRight,i
87,<,<,exp,ArrowLeft,c
88,<,<,exp,ArrowLeft,c
89,>,<,exp,ArrowRight,i
90,>,>,exp,ArrowRight,c
91,>,<,exp,ArrowRight,i
92,<,<,exp,ArrowLeft,c
93,>,<,exp,ArrowRight,i
94,>,<,exp,ArrowRight,i
95,>,>,exp,ArrowRight,c
96,<,>,exp,ArrowLeft,i
97,>,>,exp,ArrowRight,c
98,>,<,exp,ArrowRight,i
99,>,>,exp,ArrowRight,c
100,<,>,exp,ArrowLeft,i
101,<,>,exp,ArrowLeft,i
102,>,>,exp,ArrowRight,c
103,>,<,exp,ArrowRight,i
104,<,>,exp,ArrowLeft,i
105,<,>,exp,ArrowLeft,i
106,<,<,exp,ArrowLeft,c
107,>,>,exp,ArrowRight,c
108,>,>,exp,ArrowRight,c
109,>,<,exp,ArrowRight,i
110,<,<,exp,ArrowLeft,c
111,<,>,exp,ArrowLeft,i
112,<,>,exp,ArrowLeft,i
113,>,>,exp,ArrowRight,c
114,<,<,exp,ArrowLeft,c
115,>,<,exp,ArrowRight,i
116,<,<,exp,ArrowLeft,c
117,<,<,exp,ArrowLeft,c
118,>,>,exp,ArrowRight,c
119,>,<,exp,ArrowRight,i
120,>,<,exp,ArrowRight,i
121,<,<,exp,ArrowLeft,c
122,>,>,exp,ArrowRight,c
123,>,>,exp,ArrowRight,c
124,<,>,exp,ArrowLeft,i
125,>,>,exp,ArrowRight,c
126,<,<,exp,ArrowLeft,c
127,<,<,exp,ArrowLeft,c
128,<,>,exp,ArrowLeft,i
129,>,>,exp,ArrowRight,c
130,<,>,exp,ArrowLeft,i
131,<,<,exp,ArrowLeft,c
132,<,>,exp,ArrowLeft,i
133,>,<,exp,ArrowRight,i
134,>,>,exp,ArrowRight,c
135,<,>,exp,ArrowLeft,i
136,>,>,exp,ArrowRight,c
137,>,<,exp,ArrowRight,i
138,>,>,exp,ArrowRight,c
139,<,>,exp,ArrowLeft,i
140,>,<,exp,ArrowRight,i
141,<,<,exp,ArrowLeft,c
142,<,>,exp,ArrowLeft,i
143,>,>,exp,ArrowRight,c
144,>,>,exp,ArrowRight,c
145,>,>,exp,ArrowRight,c
146,<,>,exp,ArrowLeft,i
147,>,<,exp,ArrowRight,i
148,<,<,exp,ArrowLeft,c
149,<,<,exp,ArrowLeft,c
150,>,>,exp,ArrowRight,c
151,<,>,exp,ArrowLeft,i
152,<,>,exp,ArrowLeft,i
153,<,<,exp,ArrowLeft,c
154,>,<,exp,ArrowRight,i
155,<,<,exp,ArrowLeft,c
156,>,<,exp,ArrowRight,i
157,<,>,exp,ArrowLeft,i
158,<,<,exp,ArrowLeft,c
159,<,>,exp,ArrowLeft,i
160,>,>,exp,ArrowRight,c
161,<,>,exp,ArrowLeft,i
162,>,<,exp,ArrowRight,i
163,<,<,exp,ArrowLeft,c
164,<,>,exp,ArrowLeft,i
165,<,<,exp,ArrowLeft,c
166,>,<,exp,ArrowRight,i
167,<,>,exp,ArrowLeft,i
168,>,<,exp,ArrowRight,i
169,<,<,exp,ArrowLeft,c
170,>,<,exp,ArrowRight,i
171,<,<,exp,ArrowLeft,c
172,<,<,exp,ArrowLeft,c
173,>,<,exp,ArrowRight,i
174,>,<,exp,ArrowRight,i
175,<,<,exp,ArrowLeft,c
176,<,<,exp,ArrowLeft,c
177,>,<,exp,ArrowRight,i
178,>,<,exp,ArrowRight,i
179,<,<,exp,ArrowLeft,c
180,>,<,exp,ArrowRight,i
181,<,<,exp,ArrowLeft,c
182,<,<,exp,ArrowLeft,c
183,>,>,exp,ArrowRight,c
184,>,<,exp,ArrowRight,i
185,>,<,exp,ArrowRight,i
186,<,>,exp,ArrowLeft,i
187,>,>,exp,ArrowRight,c
188,<,>,exp,ArrowLeft,i
189,>,>,exp,ArrowRight,c
190,>,>,exp,ArrowRight,c
191,<,>,exp,ArrowLeft,i
192,<,>,exp,ArrowLeft,i
193,<,<,exp,ArrowLeft,c
194,>,>,exp,ArrowRight,c
195,>,<,exp,ArrowRight,i
196,>,<,exp,ArrowRight,i
197,<,<,exp,ArrowLeft,c
198,>,<,exp,ArrowRight,i
199,<,<,exp,ArrowLeft,c
200,>,<,exp,ArrowRight,i
