trials,target,flanker,type,correct,congruency,faces
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_AC.bmp,exp,q,i,WM
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM09/WM09_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_NC.bmp,exp,q,c,WM
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp,exp,p,c,WM
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_NC.bmp,exp,p,i,BM
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_NC.bmp,exp,q,c,WM
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM10/WM10_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_AC.bmp,exp,q,i,WM
9,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_NC.bmp,exp,q,c,BM
10,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp,exp,p,c,BM
11,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM10/WM10_NC.bmp,exp,q,c,WM
12,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_AC.bmp,exp,q,i,BM
13,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_NC.bmp,exp,q,c,BM
14,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp,exp,p,i,WM
15,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_NC.bmp,exp,q,c,BM
16,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp,exp,p,i,BM
17,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_AC.bmp,exp,q,i,BM
18,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM09/WM09_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp,exp,q,c,WM
19,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_NC.bmp,exp,p,i,BM
20,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_AC.bmp,exp,p,c,BM
21,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp,exp,p,i,BM
22,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp,exp,q,i,BM
23,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_AC.bmp,exp,p,c,BM
24,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp,exp,p,c,BM
25,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_AC.bmp,exp,q,i,BM
26,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_AC.bmp,exp,p,c,BM
27,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_AC.bmp,exp,q,i,BM
28,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_AC.bmp,exp,q,i,BM
29,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp,exp,q,c,BM
30,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp,exp,p,i,WM
31,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_NC.bmp,exp,p,i,WM
32,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp,exp,p,c,BM
33,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM16/BM16_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM14/BM14_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_AC.bmp,exp,q,i,BM
34,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM07/BM07_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM12/BM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_AC.bmp,exp,p,c,BM
35,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM15/BM15_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_NC.bmp,exp,q,c,BM
36,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp,exp,q,c,WM
37,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp,exp,q,i,WM
38,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM10/WM10_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp,exp,p,c,WM
39,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_AC.bmp,exp,q,i,WM
40,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM10/WM10_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp,exp,p,c,WM
41,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM09/WM09_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp,exp,q,i,WM
42,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp,exp,p,c,WM
43,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM05/BM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM04/BM04_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_NC.bmp,exp,p,i,BM
44,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM10/WM10_NC.bmp,exp,p,i,WM
45,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM06/WM06_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_AC.bmp,exp,q,i,WM
46,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM07/WM07_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM09/WM09_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp,exp,q,c,WM
47,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM13/BM13_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM09/BM09_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM06/BM06_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM10/BM10_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_AC.bmp,exp,q,i,BM
48,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM09/WM09_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_NC.bmp,exp,p,i,WM
49,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM05/WM05_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM04/WM04_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM11/WM11_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_AC.bmp,exp,q,i,WM
