trials,target,flanker,type,correct,congruency,faces
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_NC.webp,exp,p,i,BF
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.webp,exp,q,c,BF
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_NC.webp,exp,p,i,BF
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp,exp,q,i,WF
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_SC.webp,exp,q,i,WF
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_NC.webp,exp,q,c,BF
9,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.webp,exp,p,i,BF
10,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp,exp,q,c,BF
11,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_SC.webp,exp,q,i,WF
12,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_SC.webp,exp,p,c,BF
13,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_SC.webp,exp,q,i,WF
14,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp,exp,p,c,BF
15,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_SC.webp,exp,q,i,BF
16,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_NC.webp,exp,q,c,WF
17,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp,exp,p,i,WF
18,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_SC.webp,exp,q,i,WF
19,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_NC.webp,exp,q,c,WF
20,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,exp,p,i,WF
21,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp,exp,p,c,BF
22,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp,exp,p,c,BF
23,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp,exp,q,i,WF
24,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp,exp,p,c,BF
25,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp,exp,p,c,WF
26,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp,exp,q,i,BF
27,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_NC.webp,exp,q,c,BF
28,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_NC.webp,exp,p,i,BF
29,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_NC.webp,exp,q,c,WF
30,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.webp,exp,p,i,WF
31,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp,exp,p,c,BF
32,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_SC.webp,exp,q,i,BF
33,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.webp,exp,q,c,WF
34,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_NC.webp,exp,p,i,WF
35,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_SC.webp,exp,q,i,WF
36,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_NC.webp,exp,q,c,BF
37,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp,exp,q,c,BF
38,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF03/WF03_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_NC.webp,exp,p,i,WF
39,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_NC.webp,exp,q,c,WF
40,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_SC.webp,exp,q,i,BF
41,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp,exp,p,c,BF
42,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF05/WF05_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp,exp,p,c,WF
43,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_NC.webp,exp,p,i,BF
44,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF11/WF11_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp,exp,q,i,WF
45,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF04/BF04_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF03/BF03_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF02/BF02_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_SC.webp,exp,p,c,BF
46,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_NC.webp,exp,p,i,WF
47,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF10/BF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_SC.webp,exp,p,c,BF
48,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF12/WF12_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF13/WF13_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF10/WF10_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp,exp,q,i,WF
49,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF13/BF13_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF09/BF09_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF15/BF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF11/BF11_SC.webp,exp,q,i,BF
50,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF07/WF07_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF15/WF15_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF04/WF04_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_SC.webp,exp,p,c,WF
